unique identifier,Budget Year,Account Type,Department,Unit,Child Fund,Amount
1,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,36637
2,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,10124
3,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,11040
4,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,16146
5,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,3000
6,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,15000
7,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,26020
8,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,9000
9,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,1400
10,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,-30000
11,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,30000
12,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,500
13,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,600
14,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,2000
15,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,250
16,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,193559
17,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,2037
18,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,69
19,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,7170
20,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,-122769
21,2011-07-01,Expense,City Council,00011 - City Council: Administration,1010 - General Fund: General Purpose,-20900
22,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,121558
23,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,3300
24,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,24298
25,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,34436
26,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,50307
27,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,-17704
28,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,220
29,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,1290
30,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,2910
31,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,400
32,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,360
33,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,200
34,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,500
35,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,100
36,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,400
37,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,1420
38,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,1500
39,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,100
40,2011-07-01,Expense,City Council,00111 - District One,1010 - General Fund: General Purpose,350
41,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,121558
42,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,3300
43,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,24298
44,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,34436
45,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,50307
46,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,-17704
47,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,250
48,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,2010
49,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,800
50,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,100
51,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,1730
52,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,300
