tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2018-M020,Brisbane,Hard,32,A,20180101,300,106401,3,,Nick Kyrgios,R,193,AUS,22.68309377,21,2010,105992,,,Ryan Harrison,R,183,USA,25.65366188,47,1010,6-4 6-2,3,F,73,17,1,56,40,33,9,9,5,5,8,3,58,32,22,12,9,4,7
2018-M020,Brisbane,Hard,32,A,20180101,299,106401,3,,Nick Kyrgios,R,193,AUS,22.68309377,21,2010,105777,1,,Grigor Dimitrov,R,188,BUL,26.63107461,3,5150,3-6 6-1 6-4,3,SF,93,19,2,72,50,41,11,13,1,2,5,6,74,44,32,16,13,3,6
2018-M020,Brisbane,Hard,32,A,20180101,298,105992,,,Ryan Harrison,R,183,USA,25.65366188,47,1010,200282,,WC,Alex De Minaur,R,,AUS,18.87200548,208,245,4-6 7-6(5) 6-4,3,SF,157,14,5,115,70,49,24,16,3,6,9,5,94,62,49,16,16,0,3
2018-M020,Brisbane,Hard,32,A,20180101,297,105777,1,,Grigor Dimitrov,R,188,BUL,26.63107461,3,5150,106378,,,Kyle Edmund,R,,GBR,22.98151951,50,992,6-3 6-7(3) 6-4,3,QF,145,12,9,103,65,54,18,16,2,2,6,1,89,53,39,23,15,4,6
2018-M020,Brisbane,Hard,32,A,20180101,296,106401,3,,Nick Kyrgios,R,193,AUS,22.68309377,21,2010,105238,,,Alexandr Dolgopolov,R,180,UKR,29.14989733,38,1231,1-6 6-3 6-4,3,QF,90,18,5,69,43,38,11,13,1,3,6,3,75,41,33,16,13,2,4
2018-M020,Brisbane,Hard,32,A,20180101,295,200282,,WC,Alex De Minaur,R,,AUS,18.87200548,208,245,111581,,Q,Michael Mmoh,R,,USA,19.97535934,175,299,6-4 6-0,3,QF,74,6,1,46,23,18,17,8,3,3,3,5,51,29,18,8,8,3,7
2018-M020,Brisbane,Hard,32,A,20180101,294,105992,,,Ryan Harrison,R,183,USA,25.65366188,47,1010,104797,,,Denis Istomin,R,188,UZB,31.31827515,63,809,7-6(6) 4-2 RET,3,QF,96,11,2,60,34,27,14,9,1,2,3,1,67,46,29,12,9,5,7
2018-M020,Brisbane,Hard,32,A,20180101,293,105777,1,,Grigor Dimitrov,R,188,BUL,26.63107461,3,5150,105357,,WC,John Millman,R,183,AUS,28.55030801,128,436,4-6 7-6(8) 6-3,3,R16,155,6,5,113,65,51,22,16,4,7,5,1,101,67,46,18,15,3,6
2018-M020,Brisbane,Hard,32,A,20180101,292,106378,,,Kyle Edmund,R,,GBR,22.98151951,50,992,111202,,,Hyeon Chung,R,,KOR,21.62080767,58,844,7-6(3) 5-7 6-4,3,R16,158,12,3,102,66,54,16,17,1,3,11,1,109,75,51,20,17,6,8
2018-M020,Brisbane,Hard,32,A,20180101,291,106401,3,,Nick Kyrgios,R,193,AUS,22.68309377,21,2010,105051,,,Matthew Ebden,R,188,AUS,30.09993155,76,670,6-7(3) 7-6(5) 6-2,3,R16,132,13,2,100,62,53,21,16,2,2,11,2,105,78,58,16,16,5,7
