Cache Line Padding	1 thread	2 threads	4 threads	6 threads	8 threads
0	39.290904	12.692884	19.012188	20.080826	15.778487
1	42.002105	11.555551	18.465353	24.128488	23.898503
2	42.143882	11.944666	15.124509	24.542109	24.027655
3	40.979384	13.04573	19.721406	21.902818	27.679287
4	42.17699	13.895074	18.966515	19.925435	26.447332
5	41.101739	13.673711	19.791199	21.048396	27.738637
6	41.604999	14.71726	24.432376	27.264556	27.626764
7	42.393471	14.213651	22.537006	29.371716	29.728306
8	42.82975	13.061758	22.215271	24.577313	28.93325
9	43.146421	13.784477	22.458989	24.231218	29.1449
10	41.848228	14.315222	23.609359	25.583962	28.995756
11	43.443188	14.714839	18.157467	25.722064	29.919869
12	42.299946	16.534877	22.257638	26.230196	29.827197
13	42.805845	17.134634	22.294841	25.489218	29.442187
14	42.186933	19.489623	22.881109	27.465642	29.872007
15	42.500864	18.080114	23.526075	26.070976	29.029464
16	27.578513	15.127386	22.902095	30.070906	30.553722
17	43.222841	19.964335	23.409388	26.138249	30.224751
18	43.303026	14.855721	22.98052	30.768592	29.228798
