Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Thread Count-hostname:port, Current Threads Busy-hostname:port, Max Threads-hostname:port, Active Sessions-hostname:port, Uptime-hostname:port,
2018-03-20 00:00:48, 0.1, 5, 178497472, 954466304, 261342016, 252051456, 4366, 15109240000000, 0.05, 0.29, 296779776, 16725889024, 0.19, 8724148224, 3571441664, 13, 3, 200, 80, 357009716,
2018-03-20 00:01:48, 0.0, 4, 213305952, 954466304, 261342016, 254738432, 4366, 15118840000000, 0.04, 0.29, 324820992, 16725889024, 0.18, 8724148224, 3571441664, 13, 3, 200, 80, 357069718,
2018-03-20 00:02:48, 0.1, 5, 212186128, 954466304, 261342016, 247726080, 4366, 15131540000000, 0.05, 0.30, 336904192, 16725889024, 0.40, 8724148224, 3571441664, 13, 3, 200, 80, 357129718,
2018-03-20 00:03:48, 0.1, 3, 248005912, 954466304, 261342016, 255197184, 4366, 15141030000000, 0.04, 0.27, 315723776, 16725889024, 0.48, 8724148224, 3571441664, 13, 3, 200, 80, 357189714,
2018-03-20 00:04:48, 0.2, 5, 112105088, 954466304, 261342016, 234356736, 4366, 15153770000000, 0.05, 0.29, 304730112, 16725889024, 0.52, 8724148224, 3571441664, 13, 3, 200, 80, 357249719,
2018-03-20 00:05:48, 0.1, 4, 146512720, 954466304, 261342016, 250544128, 4366, 15163380000000, 0.04, 0.27, 312287232, 16725889024, 0.29, 8724148224, 3571441664, 13, 3, 200, 80, 357309720,
2018-03-20 00:06:48, 0.3, 5, 177983976, 954466304, 261342016, 256180224, 4366, 15176040000000, 0.05, 0.28, 338292736, 16725889024, 0.43, 8724148224, 3571441664, 13, 3, 200, 80, 357369716,
2018-03-20 00:07:48, 0.1, 3, 187756744, 954466304, 261342016, 246743040, 4366, 15185590000000, 0.04, 0.28, 325922816, 16725889024, 0.29, 8724148224, 3571441664, 13, 3, 200, 80, 357429717,
2018-03-20 00:08:48, 0.2, 5, 187653640, 954466304, 261342016, 229703680, 4366, 15198360000000, 0.05, 0.28, 308416512, 16725889024, 0.24, 8724148224, 3571441664, 13, 3, 200, 80, 357489716,
2018-03-20 00:09:48, 0.1, 4, 211765600, 954466304, 261342016, 245104640, 4366, 15207980000000, 0.04, 0.28, 310956032, 16725889024, 0.50, 8724148224, 3571441664, 13, 3, 200, 80, 357549717,
2018-03-20 00:10:48, 0.3, 5, 106731816, 954466304, 261342016, 231473152, 4366, 15220770000000, 0.05, 0.29, 344854528, 16725889024, 0.27, 8724148224, 3571441664, 13, 3, 200, 80, 357609726,
2018-03-20 00:11:48, 0.2, 4, 153528840, 954466304, 261342016, 256507904, 4366, 15230590000000, 0.04, 0.27, 316555264, 16725889024, 0.52, 8724148224, 3571441664, 13, 3, 200, 80, 357669715,
2018-03-20 00:12:48, 0.1, 5, 157557256, 954466304, 261342016, 252051456, 4366, 15243710000000, 0.06, 0.33, 289726464, 16725889024, 0.27, 8724148224, 3571441664, 13, 3, 200, 80, 357729716,
